id,measured,predicted
CHEMBL5999474,7.64,7.618357142857109
CHEMBL3311471,7.62,7.1942187500000045
CHEMBL3577694,7.62,6.703249999999996
CHEMBL3655936,7.62,7.281375000000014
CHEMBL4789410,7.62,6.7113687499999966
CHEMBL4860990,7.62,8.69695541666668
CHEMBL5859669,7.62,7.22699000000001
CHEMBL270740,7.6,7.674639999999987
CHEMBL589906,7.6,7.487385833333305
CHEMBL1094792,7.6,7.386889166666647
CHEMBL1094158,7.6,7.8634410416666825
CHEMBL3656013,7.6,7.483600000000001
CHEMBL191091,7.6,7.092799999999975
CHEMBL4644721,7.6,7.335016666666672
CHEMBL5558617,7.6,7.535924999999992
CHEMBL5559467,7.6,7.392024999999993
CHEMBL487106,7.59,7.590579166666681
CHEMBL272615,7.58,6.938326666666662
CHEMBL583130,7.58,6.125475000000028
CHEMBL4641299,7.58,7.78627916666666
CHEMBL5076796,7.58,7.537221666666668
CHEMBL1093041,7.57,6.617186666666658
CHEMBL3914604,7.57,7.464822916666676
CHEMBL4090436,7.57,6.705754166666664
CHEMBL4782188,7.56,7.527324999999982
CHEMBL3601342,7.55,7.420612499999992
CHEMBL1830533,7.54,7.5199750000000085
CHEMBL4633750,7.54,7.4823333333333615
CHEMBL6162062,7.54,6.9204750000000095
CHEMBL4786837,7.53,7.085749999999988
CHEMBL1830537,7.52,7.295175000000024
CHEMBL3827056,7.52,8.585275000000006
CHEMBL3689886,7.52,7.470949999999995
CHEMBL4062598,7.52,6.980404166666674
CHEMBL5170598,7.52,6.138299999999991
CHEMBL5270878,7.52,8.05400482142856
CHEMBL5639965,7.52,6.946574999999987
CHEMBL5984108,7.52,7.44848249999999
CHEMBL474318,7.52,6.787800000000017
CHEMBL242533,7.51,6.741690000000003
CHEMBL1631913,7.51,7.253868035714273
CHEMBL3287254,7.51,6.966800000000004
CHEMBL3664127,7.51,7.173754166666655
CHEMBL5087772,7.51,7.3384
CHEMBL5279294,7.51,6.612675000000004
CHEMBL5403641,7.51,6.502783333333346
CHEMBL5402344,7.5,7.170325
CHEMBL5564563,7.5,7.0455850000000275
CHEMBL5632335,7.5,7.691192499999992
CHEMBL5632450,7.5,7.468675000000001
CHEMBL1822046,7.49,7.20139666666667
CHEMBL5631871,7.49,7.617950000000004
CHEMBL520056,7.48,7.698358333333354
CHEMBL513061,7.48,7.879949999999976
CHEMBL3098694,7.48,7.419401041666664
CHEMBL3354920,7.48,6.879343749999997
CHEMBL3664118,7.48,7.0787749999999985
CHEMBL6058803,7.48,7.342554166666649
CHEMBL218080,7.47,7.131549999999994
CHEMBL319738,7.46,7.309463333333337
CHEMBL320909,7.46,7.817262500000019
CHEMBL1630109,7.46,6.888922916666684
