rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_hdac6,pIC50_hdac1,pIC50_hdac2,pIC50_hdac3,selectivity,pareto,sa_score,MW,cLogP,HBD,HBA,TPSA,rotB,lipinski_ok,veber_ok,pred_uncertainty,developable
5754,CAND-01587,CCCCN(O)C(=O)c1cccc(NC(=O)CCCCCS[C@@H]2Cc3c(ccc(O)c3C#N)[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]32)c1,0.215725944003629,5.772226490205129,0.1641993681667894,0.8137675549781119,0.5,0.1120875330674477,1,1.0,-1.5800576999999951,3,0.7777777777777778,False,CCCCN(O)C(=O)c1cccc(NC(=O)CCCCCS[C@@H]2Cc3c(ccc(O)c3C#N)[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]32)c1,5.17,6.3,5.82,5.95,-1.13,False,4.65,633.9,7.02,4,7,133.9,12,False,False,0.94,False
5755,CAND-01588,CCCCN(O)C(=O)c1cccc(NC(=O)CCCCCS[C@@H]2Cc3cc(O)c(C#N)cc3[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]32)c1,0.215725944003629,5.772226490205129,0.1641993681667894,0.8137675549781119,0.5,0.1120875330674477,1,1.0,-1.5800576999999951,3,0.8202247191011236,False,CCCCN(O)C(=O)c1cccc(NC(=O)CCCCCS[C@@H]2Cc3cc(O)c(C#N)cc3[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]32)c1,5.15,6.3,5.8,5.93,-1.15,False,4.6,633.9,7.02,4,7,133.9,12,False,False,0.972,False
5756,CAND-01560,CCCCN(O)C(=O)c1cccc(NC(=O)CCCCCS[C@@H]2Cc3cc(O)c(C)cc3[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]32)c1,0.2154439717684723,5.772226490205129,0.1641993681667894,0.875611654460461,0.5,0.1111476256169254,1,1.0,-1.2029759999999956,3,0.8588235294117647,False,CCCCN(O)C(=O)c1cccc(NC(=O)CCCCCS[C@@H]2Cc3cc(O)c(C)cc3[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]32)c1,4.87,6.32,5.78,5.88,-1.45,False,4.49,622.9,7.46,4,6,110.1,12,False,False,0.843,False
5757,CAND-06081,COc1cc2nc(-c3ccccc3)cc(NCC3CCN(c4ncc(C(=O)NO)cn4)CC3)c2c(OC)c1OC,0.2150845106606597,6.679272507733148,0.4685992893343105,0.5702407823587721,0.6666666666666667,0.2084534777361029,2,0.5,-3.0649122000000006,2,0.7945205479452054,False,COc1cc2nc(-c3ccccc3)cc(NCC3CCN(c4ncc(C(=O)NO)cn4)CC3)c2c(OC)c1OC,6.59,7.47,7.03,6.38,-0.88,False,2.83,544.6,4.17,3,10,131.0,9,True,True,0.686,False
5758,CAND-00590,COc1ccc(N2CCN(c3ncc(C(=O)NCCCCCCC(=O)NO)cn3)CC2)cc1OC,0.2149245824566083,7.028437906760632,0.5857773794030527,0.3769005949474595,0.3333333333333333,0.2343126951500786,2,0.5,-4.243764300000003,4,0.7833333333333333,True,COc1ccc(N2CCN(c3ncc(C(=O)NCCCCCCC(=O)NO)cn3)CC2)cc1OC,7.71,7.04,6.85,6.83,0.67,False,2.42,486.6,2.01,3,9,129.2,12,True,False,0.394,False
5759,CAND-00726,CC(C)C[C@H]1CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCCC(=O)O)C(=O)N[C@@H](Cc2cc(C(F)(F)F)cc3ccccc23)C(=O)N1,0.2148417416389653,5.820191287248319,0.1802961043374128,0.2696007788503309,0.5,0.0823122982341963,1,1.0,-4.898002899999999,3,0.8125,False,CC(C)C[C@H]1CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCCC(=O)O)C(=O)N[C@@H](Cc2cc(C(F)(F)F)cc3ccccc23)C(=O)N1,5.78,6.91,6.49,6.55,-1.13,False,4.86,719.8,3.09,8,6,215.6,14,False,False,0.508,False
5760,CAND-00646,COc1cc(C#N)c(N(C)c2nc(C)nc3ccccc23)cc1OCCCC(=O)NO,0.2146292504724861,6.667701250159428,0.4647160355355135,0.5869846835515419,0.5,0.3230016105907187,2,0.5,-2.9628197000000016,3,0.7058823529411765,False,COc1cc(C#N)c(N(C)c2nc(C)nc3ccccc23)cc1OCCCC(=O)NO,6.9,6.6,6.73,6.39,0.17,False,2.69,421.5,3.25,2,8,120.6,8,True,True,0.817,False
5761,CAND-01385,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(NC4CCN(c5ccc(C(=O)NO)cc5)CC4)cc(OC)c3OCC)nc12,0.214564399961379,6.952315982983912,0.5602312580939011,0.5063547773080405,0.5,0.1633772362526921,2,0.5,-3.454444,3,0.8214285714285714,False,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(NC4CCN(c5ccc(C(=O)NO)cc5)CC4)cc(OC)c3OCC)nc12,6.43,6.0,5.86,6.48,-0.05,False,3.04,575.7,3.88,4,10,146.6,10,True,False,0.763,False
5762,CAND-02064,CCC(CC)(c1ccc(OCC(O)C(C)(C)C)c(C)c1)c1cc(C)c(OCCCCC(=O)NO)cc1Cl,0.2143907743101187,5.700234965375852,0.1400393872404804,0.8995633752129447,0.5,0.1479036022995949,1,1.0,-1.0569352999999977,3,0.8103448275862069,False,CCC(CC)(c1ccc(OCC(O)C(C)(C)C)c(C)c1)c1cc(C)c(OCCCCC(=O)NO)cc1Cl,5.22,5.95,5.69,5.19,-0.73,False,3.39,534.1,6.9,3,5,88.0,13,False,False,0.474,False
5763,CAND-02066,CCC(CC)(c1ccc(OCC(O)C(C)(C)C)c(C)c1)c1ccc(OCCCCC(=O)NO)c(C)c1Cl,0.2143907743101187,5.700234965375852,0.1400393872404804,0.8995633752129447,0.5,0.1479036022995949,1,1.0,-1.0569352999999977,3,0.7966101694915254,False,CCC(CC)(c1ccc(OCC(O)C(C)(C)C)c(C)c1)c1ccc(OCCCCC(=O)NO)c(C)c1Cl,5.22,5.92,5.68,5.2,-0.7,False,3.43,534.1,6.9,3,5,88.0,13,False,False,0.475,False
