id,measured_delta,predicted_delta
CHEMBL105962,-1.2700000000000005,-1.768912500000001
CHEMBL187092,-1.790000000000001,-0.7034999999999991
CHEMBL7108,-2.5,-1.6580624999999998
CHEMBL3617401,-2.5,-2.5044791666666693
CHEMBL268114,-2.1100000000000003,-1.7971849999999971
CHEMBL502674,-0.15000000000000036,-0.7511479166666671
CHEMBL1089843,-1.9200000000000008,-1.6636333333333315
CHEMBL489100,0.04999999999999982,-0.1360999999999999
CHEMBL323575,-2.0,-1.903563333333333
CHEMBL523999,-0.20000000000000018,-0.4560375000000011
CHEMBL452083,-0.5799999999999992,-0.4746499999999997
CHEMBL266292,-2.3100000000000005,-1.9972874999999997
CHEMBL290377,-1.8650000000000002,-2.2487875000000006
CHEMBL146951,-1.1899999999999995,-2.414150000000004
CHEMBL1801417,-3.8899999999999997,-4.4293
CHEMBL3617400,-2.71,-2.5828651041666673
CHEMBL79433,-2.9000000000000004,-3.8222499999999986
CHEMBL309053,-2.8000000000000007,-3.39891749999999
CHEMBL366111,-1.88,-1.7940000000000007
CHEMBL237078,1.8999999999999995,-0.8522708333333314
CHEMBL450479,0.16000000000000014,-0.44693749999999804
CHEMBL311618,-3.0299999999999994,-2.9741999999999957
CHEMBL1801422,-3.3000000000000007,-4.098800000000001
CHEMBL1089842,-1.8099999999999996,-1.913362499999999
CHEMBL1939845,-0.7300000000000004,-1.8705583333333333
CHEMBL3617403,-2.96,-2.7896067708333363
CHEMBL90211,-3.0900000000000007,-3.310949999999991
CHEMBL41324,-1.9000000000000004,-1.7131479166666648
CHEMBL1939846,-1.7199999999999998,-2.479050000000004
CHEMBL83282,-3.210000000000001,-2.767721666666665
CHEMBL1801416,-3.8199999999999994,-4.4867
CHEMBL41102,-0.9300000000000006,-1.7750041666666663
CHEMBL43113,-3.039999999999999,-2.436074999999996
CHEMBL433063,-2.6400000000000006,-2.7117333333333407
CHEMBL204593,-0.040000000000000036,-1.247482499999999
CHEMBL1957605,-1.6800000000000006,-2.197658333333329
CHEMBL362651,-3.870000000000001,-2.630731770833336
CHEMBL197842,-2.9700000000000006,-2.396499999999999
CHEMBL550081,-3.34,-2.9160008333333334
CHEMBL2336352,-2.5599999999999987,-2.572624999999994
CHEMBL1830143,-0.3099999999999996,-0.3370500000000002
CHEMBL373532,-2.8900000000000006,-1.9095874999999942
CHEMBL573714,-1.25,-1.963120833333333
CHEMBL59104,-2.920000000000001,-2.7644312499999995
CHEMBL2336786,-2.6599999999999993,-2.6559499999999954
CHEMBL1163869,-0.3700000000000001,-0.4981249999999994
CHEMBL1165574,-2.6800000000000006,-2.691724999999997
CHEMBL573936,-1.9699999999999998,-2.4381125000000066
CHEMBL1801057,-4.35,-4.110725000000005
CHEMBL4215407,-0.7000000000000002,-1.0218875000000016
CHEMBL2336784,-0.4399999999999995,-0.4107999999999997
CHEMBL1165106,-3.129999999999999,-3.0769749999999987
CHEMBL1165241,-0.4399999999999995,-0.5017749999999996
CHEMBL58997,-1.7000000000000002,-2.173443750000001
CHEMBL1093689,-1.1100000000000003,-1.9561729166666668
CHEMBL2336338,-2.96,-2.8718250000000065
CHEMBL2336780,-2.96,-2.9194250000000066
CHEMBL2336353,-2.9300000000000006,-2.8040750000000063
CHEMBL2336779,-3.1000000000000005,-2.8487000000000053
CHEMBL43147,-2.130000000000001,-2.431162499999999
CHEMBL59684,-2.62,-2.607781249999998
CHEMBL283580,-2.29,-1.7194895833333375
CHEMBL212205,-1.0,-2.145718749999996
CHEMBL563679,-1.88,-2.4621083333333327
CHEMBL69803,-3.25,-2.6638749999999987
CHEMBL42420,-3.0900000000000007,-3.0068937499999904
CHEMBL296196,-2.7699999999999996,-2.472699999999995
CHEMBL379287,-1.2800000000000002,-1.7399124999999969
CHEMBL377862,-1.7999999999999998,-1.8931000000000027
CHEMBL1234370,-0.4299999999999997,0.30670000000000053
CHEMBL292160,-1.9500000000000002,-2.765493749999998
CHEMBL425783,-1.42,-1.4916749999999996
CHEMBL2115165,-4.06,-3.312399999999991
CHEMBL1683453,-0.71,-0.7697124999999975
CHEMBL196647,-1.71,-2.0388312499999977
CHEMBL10881,-2.55,-2.2189937499999983
CHEMBL10806,-2.12,-2.356249999999994
CHEMBL43063,-3.58,-3.1321812500000057
CHEMBL45040,-2.7300000000000004,-2.9091999999999865
CHEMBL1795861,-3.92,-2.529424999999998
CHEMBL573935,-1.6500000000000004,-1.9579750000000067
CHEMBL10809,-3.1599999999999993,-2.8647479166666647
CHEMBL104446,-1.7600000000000007,-1.3486249999999973
CHEMBL255374,-1.0200000000000005,-1.8021625000000023
CHEMBL3617406,-1.6500000000000004,-1.4926291666666638
CHEMBL194377,-1.0499999999999998,-1.4630750000000006
CHEMBL94715,-2.41,-2.122487500000004
CHEMBL97057,-1.4800000000000004,-1.017574999999998
CHEMBL198262,-1.25,-1.507225000000002
CHEMBL148169,-1.1700000000000008,-1.078838541666668
CHEMBL445939,0.33999999999999986,-0.013650000000000034
CHEMBL236446,-2.41,-1.286362499999997
CHEMBL2431030,-4.02,-3.1713124999999995
CHEMBL425020,-1.3600000000000003,-1.4568000000000005
CHEMBL254627,0.29000000000000004,0.19565000000000013
CHEMBL291133,-3.1099999999999994,-3.099239583333338
CHEMBL297749,-3.71,-3.1942770833333407
CHEMBL253835,-0.10000000000000053,-0.6718131250000003
CHEMBL523915,-0.47999999999999954,-1.677330208333336
CHEMBL255051,0.16999999999999993,-0.13137500000000046
CHEMBL306585,-4.29,-4.0465749999999865
CHEMBL399685,0.1299999999999999,0.32187500000000036
CHEMBL2431016,-3.8999999999999995,-3.0242750000000016
CHEMBL253373,0.040000000000000036,0.2949000000000001
CHEMBL126712,-2.08,-2.187251875000003
CHEMBL96438,-0.13999999999999968,-0.6136624999999994
CHEMBL251426,-0.2599999999999998,-0.6263506249999983
CHEMBL254406,0.020000000000000462,-0.12395000000000019
CHEMBL254657,0.020000000000000462,0.1266249999999999
CHEMBL5402198,-1.0300000000000002,-0.863390624999999
CHEMBL251424,0.0,-0.17526250000000027
CHEMBL4436740,-0.96,-0.896787499999997
