rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,pIC50_mmp1,pIC50_mmp2,pIC50_mmp3,pIC50_mmp9,pIC50_mmp13,sel_vs_mmp2,sel_vs_mmp3,sel_vs_mmp9,sel_vs_mmp13,min_MMP1_selectivity,potent_and_MMP1_selective
15,CAND-00044,C[C@H](C(=O)NO)N(Cc1ccccc1C#N)[P@](C)(=O)c1ccccc1,0.4689521285325355,6.373753818340586,0.4955318672060804,0.6296944636088894,0.4,0.4706206497649843,1,1.0,-3.113653200000001,3,0.6666666666666666,False,6.38,6.73,6.42,6.6,6.62,-0.35,-0.04,-0.22,-0.24,-0.35,False
32,CAND-00039,N#Cc1ccccc1CCN(CC(=O)NO)P(=O)(c1ccccc1)c1ccccc1,0.4109714602565744,6.283836034862446,0.4622898032864496,0.5953837479478103,0.4,0.3327551953778317,1,1.0,-3.2439993,3,0.6595744680851063,False,6.26,6.75,5.87,6.09,6.84,-0.49,0.39,0.17,-0.58,-0.58,False
20,CAND-00040,C[P@@](=O)(c1ccccc1)N(CCc1ccccc1C#N)CC(=O)NO,0.462721477966129,6.373753818340586,0.4955318672060804,0.5650299250511513,0.4,0.4498518145436295,1,1.0,-3.3593132000000008,3,0.673469387755102,False,6.24,6.82,6.04,6.12,6.67,-0.58,0.2,0.12,-0.43,-0.58,False
17,CAND-00041,CCP(=O)(c1ccccc1)N(Cc1ccccc1C#N)[C@H](C)C(=O)NO,0.4666139169102941,6.405206536285932,0.5071597479204608,0.6800779206899931,0.4,0.4434468098335457,1,1.0,-2.922246900000001,3,0.68,False,6.09,6.8,5.63,6.66,6.72,-0.71,0.46,-0.57,-0.63,-0.71,False
18,CAND-00043,CC[P@@](=O)(c1ccccc1)N(Cc1ccccc1C#N)[C@H](C)C(=O)NO,0.4666139169102941,6.405206536285932,0.5071597479204608,0.6800779206899931,0.4,0.4434468098335457,1,1.0,-2.922246900000001,3,0.68,False,6.09,6.8,5.63,6.66,6.72,-0.71,0.46,-0.57,-0.63,-0.71,False
48,CAND-11660,CCCCCC[C@H](C(=O)NO)[S@@+]([O-])c1ccc(OCOC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)cc1,0.2163948918832036,6.10673275126581,0.396815784177347,0.4275910366726318,0.0,0.0599566659817671,1,1.0,-3.8814423000000016,5,0.5333333333333333,False,6.07,7.35,6.82,6.99,8.45,-1.28,-0.75,-0.92,-2.38,-2.38,False
49,CAND-11659,CCCCCC[C@@H](C(=O)NO)[S@@+]([O-])c1ccc(OCOC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)cc1,0.2163948918832036,6.10673275126581,0.396815784177347,0.4275910366726318,0.0,0.0599566659817671,1,1.0,-3.8814423000000016,5,0.5333333333333333,False,6.07,7.35,6.82,6.99,8.45,-1.28,-0.75,-0.92,-2.38,-2.38,False
50,CAND-11661,CCCCCC[C@@H](C(=O)NO)[S@+]([O-])c1ccc(OCOC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)cc1,0.2163948918832036,6.10673275126581,0.396815784177347,0.4275910366726318,0.0,0.0599566659817671,1,1.0,-3.8814423000000016,5,0.5333333333333333,False,6.07,7.35,6.82,6.99,8.45,-1.28,-0.75,-0.92,-2.38,-2.38,False
35,CAND-00007,C=CCC(CC=C)(C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2C#N)cc1,0.3971434242815264,6.093485938597377,0.391918517180519,0.7365434137643387,0.4,0.4039472189708893,1,1.0,-2.707735,3,0.5555555555555556,False,5.97,7.01,6.85,6.07,7.02,-1.04,-0.88,-0.1,-1.05,-1.05,False
34,CAND-00009,CCCCCCC(C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2C#N)cc1,0.3974888679163977,6.138002561835501,0.4083760451346818,0.8137967686683121,0.4,0.377669484496856,1,1.0,-2.4142501999999992,3,0.5892857142857143,False,5.97,7.27,7.19,6.77,7.29,-1.3,-1.22,-0.8,-1.32,-1.32,False
