rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit
34,CAND-00009,CCCCCCC(C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2C#N)cc1,0.3974888679163977,6.138002561835501,0.4083760451346818,0.8137967686683121,0.4,0.377669484496856,1,1.0,-2.4142501999999992,3,0.5892857142857143,False
35,CAND-00007,C=CCC(CC=C)(C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2C#N)cc1,0.3971434242815264,6.093485938597377,0.39191851718051907,0.7365434137643387,0.4,0.40394721897088937,1,1.0,-2.707735,3,0.5555555555555556,False
36,CAND-14209,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)NS(=O)(=O)C1=CC=CC2=CCC(=O)CN21,0.3697369786201561,7.738309775090249,1.0,0.12305335811535183,0.6,0.3982465241343741,2,0.5,-5.038378200000002,2,0.5285714285714286,True
37,CAND-00019,CCCCCC[C@H](C(=O)NO)[S@@+]([O-])c1ccc(-c2ccccc2C#N)cc1,0.33218705342708416,6.138002561835501,0.4083760451346818,0.901889343775755,0.19999999999999996,0.2933301028658109,1,1.0,-2.079587299999999,4,0.5964912280701754,False
38,CAND-00018,CCCCCC[C@@H](C(=O)NO)[S@@+]([O-])c1ccc(-c2ccccc2C#N)cc1,0.33218705342708416,6.138002561835501,0.4083760451346818,0.901889343775755,0.19999999999999996,0.2933301028658109,1,1.0,-2.079587299999999,4,0.5964912280701754,False
39,CAND-00020,CCCCCC[C@@H](C(=O)NO)[S@+]([O-])c1ccc(-c2ccccc2C#N)cc1,0.33218705342708416,6.138002561835501,0.4083760451346818,0.901889343775755,0.19999999999999996,0.2933301028658109,1,1.0,-2.079587299999999,4,0.5964912280701754,False
40,CAND-03027,CCCCCCC(C(=O)NO)S(=O)(=O)c1ccc(OC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)cc1,0.3096987737343778,6.344517784238747,0.484723481180794,0.39255139061924554,0.19999999999999996,0.09112344381326952,1,1.0,-4.014557600000002,4,0.5373134328358209,False
41,CAND-14257,CC(C)CC(NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1C#N)C(=O)O,0.30316307389919983,7.039226618374376,0.7415531602117843,0.3877858094425596,0.6,0.3851652256416918,2,0.5,-4.032662000000001,2,0.5254237288135594,True
42,CAND-14312,CC(C)C[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1C#N)C(=O)O,0.30316307389919983,7.039226618374376,0.7415531602117843,0.3877858094425596,0.6,0.3851652256416918,2,0.5,-4.032662000000001,2,0.5254237288135594,True
43,CAND-03041,CCCCCC[C@@H](C(=O)NO)[S@@+]([O-])c1ccc(OC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)cc1,0.26399985319018904,6.344517784238747,0.484723481180794,0.48064396572668855,0.0,0.07212704199930679,1,1.0,-3.6798947000000015,5,0.5441176470588235,False
44,CAND-03042,CCCCCC[C@H](C(=O)NO)[S@@+]([O-])c1ccc(OC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)cc1,0.26399985319018904,6.344517784238747,0.484723481180794,0.48064396572668855,0.0,0.07212704199930679,1,1.0,-3.6798947000000015,5,0.5441176470588235,False
45,CAND-03043,CCCCCC[C@@H](C(=O)NO)[S@+]([O-])c1ccc(OC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)cc1,0.26399985319018904,6.344517784238747,0.484723481180794,0.48064396572668855,0.0,0.07212704199930679,1,1.0,-3.6798947000000015,5,0.5441176470588235,False
46,CAND-14144,CC(C)C[C@H](CC(=O)NNS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1C#N,0.25796248106817377,7.200709912452952,0.8012525631115187,0.0,0.4,0.11766226860196044,2,0.5,-5.505856800000001,3,0.5232558139534884,True
47,CAND-14147,CC(C)C[C@H](CC(=O)NNS(=O)(=O)c1ccccc1[N+](=O)[O-])C(=O)NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1C#N,0.22461237606338796,6.839869799992586,0.6678521430923755,0.0,0.4,0.11766226860196044,2,0.5,-5.505856800000001,3,0.5287356321839081,False
48,CAND-11660,CCCCCC[C@H](C(=O)NO)[S@@+]([O-])c1ccc(OCOC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)cc1,0.21639489188320363,6.10673275126581,0.396815784177347,0.4275910366726318,0.0,0.05995666598176716,1,1.0,-3.8814423000000016,5,0.5333333333333333,False
49,CAND-11659,CCCCCC[C@@H](C(=O)NO)[S@@+]([O-])c1ccc(OCOC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)cc1,0.21639489188320363,6.10673275126581,0.396815784177347,0.4275910366726318,0.0,0.05995666598176716,1,1.0,-3.8814423000000016,5,0.5333333333333333,False
50,CAND-11661,CCCCCC[C@@H](C(=O)NO)[S@+]([O-])c1ccc(OCOC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)cc1,0.21639489188320363,6.10673275126581,0.396815784177347,0.4275910366726318,0.0,0.05995666598176716,1,1.0,-3.8814423000000016,5,0.5333333333333333,False
