rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit
4961,CAND-02776,CC(C)[C@H](C(=O)NO)N(CCNC(=O)c1cccc(C(=O)NCCN([C@@H](C(=O)N(C)C)C(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c1O)S(=O)(=O)c1ccc(-c2ccccc2)cc1,0.4995109968090806,5.394492460900945,0.26490559345852144,0.6000873750478314,0.6,-4.7415821999999945,2,0.8095238095238095,False
4962,CAND-02088,CC(=O)N[C@@H](CS)C(=O)N[C@@H](Cc1ccc(O)nc1)C(N)=O,0.4986221239403515,5.648552784732168,0.31741714775391605,0.45199328803150374,0.8,-5.589552800000001,1,0.6862745098039216,False
4963,CAND-02089,CC(=O)N[C@@H](CS)C(=O)N[C@@H](Cc1cccnc1O)C(N)=O,0.4986221239403515,5.648552784732168,0.31741714775391605,0.45199328803150374,0.8,-5.589552800000001,1,0.6415094339622641,False
4964,CAND-04617,CC(C)COc1ccc(S(=O)(=O)N2C[C@@H](N3C(=O)CN(C)C3=O)C[C@@H]2C(=O)NO)cc1Cl,0.49781816856135463,6.551121190003526,0.5039683931589254,0.5480614458081712,0.4,-5.0394770000000015,3,0.7681159420289855,True
4965,CAND-03001,N#Cc1cc(S(N)(=O)=O)ccc1CCNC(=O)CN(CC(=O)NO)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,0.49771641779388254,6.553633261262876,0.5044876114466926,0.4363780763552772,0.6,-5.678963800000001,2,0.703125,True
4966,CAND-03004,N#Cc1ccccc1Oc1ccc(S(=O)(=O)N(CC(=O)NO)CC(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1,0.4977164177938824,6.553633261262876,0.5044876114466926,0.4363780763552771,0.6,-5.678963800000002,2,0.7580645161290323,True
4967,CAND-03243,COc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc(OC)cc3F)C2C(=O)NO)cc1,0.49767678311448693,6.229273262708242,0.4374458655396424,0.48098449656132036,0.6,-5.423552300000001,2,0.7659574468085106,True
4968,CAND-04618,CC(C)COc1ccc(S(=O)(=O)N2C[C@@H](N3C(=O)CN(C)C3=O)C[C@@H]2C(=O)NO)c(Cl)c1,0.4974788520182307,6.545648942229738,0.5028373380151792,0.5480614458081712,0.4,-5.0394770000000015,3,0.7681159420289855,True
4969,CAND-04158,Cc1c(C(=O)NCC[C@H](C(=O)NO)N(OC(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)cccc1C(=O)NCC[C@H](C(=O)NO)N(OC(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,0.49742617262433275,5.3484323548661425,0.2553854616944412,0.6018011869244454,0.6,-4.7317690999999975,2,0.7868852459016393,False
4970,CAND-04157,Cc1ccc(-c2ccc(S(=O)(=O)N(OC(C)C)[C@H](CCNC(=O)c3cccc(C(=O)NCC[C@H](C(=O)NO)N(OC(C)C)S(=O)(=O)c4ccc(-c5ccccc5)cc4)c3)C(=O)NO)cc2)cc1,0.49742617262433264,5.3484323548661425,0.2553854616944412,0.6018011869244451,0.6,-4.731769099999999,2,0.9310344827586207,False
4971,CAND-04152,Cc1cc(C(=O)NCC[C@H](C(=O)NO)N(OC(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)cc(C(=O)NCC[C@H](C(=O)NO)N(OC(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c1,0.49742617262433264,5.3484323548661425,0.2553854616944412,0.6018011869244452,0.6,-4.731769099999998,2,0.864406779661017,False
4972,CAND-04156,Cc1cccc(-c2ccc(S(=O)(=O)N(OC(C)C)[C@H](CCNC(=O)c3cccc(C(=O)NCC[C@H](C(=O)NO)N(OC(C)C)S(=O)(=O)c4ccc(-c5ccccc5)cc4)c3)C(=O)NO)cc2)c1,0.49742617262433253,5.3484323548661425,0.2553854616944412,0.6018011869244447,0.6,-4.731769100000001,2,0.9,False
4973,CAND-05312,CCCCOc1ccc(S(=O)(=O)N2C[C@@H](N3C(=O)CN(CCC)C3=O)C[C@@H]2C(=O)NO)c(C(F)(F)F)c1,0.49694148327303617,6.659062881122116,0.5262787873536365,0.6423507712598782,0.19999999999999996,-4.499586600000002,4,0.7397260273972602,True
4974,CAND-05113,CC(C)[C@@H]1C(=O)N(O)C(=O)CN1S(=O)(=O)c1ccc(OCF)cc1,0.4969160909375214,4.862122458395058,0.15487040232651844,0.6676777116434798,0.6,-4.354567300000001,2,0.7551020408163265,False
4975,CAND-04552,N#Cc1cc(S(N)(=O)=O)ccc1CCNC(=O)CN(CC(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,0.4965886131517704,6.524505639948132,0.4984672433502521,0.4378854225482105,0.6,-5.6703329,2,0.7,True
4976,CAND-04555,N#Cc1ccccc1-c1ccc(S(=O)(=O)N(CC(=O)NO)CC(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1,0.4965886131517704,6.524505639948132,0.4984672433502521,0.4378854225482105,0.6,-5.6703329,2,0.7457627118644068,True
4977,CAND-02991,NS(=O)(=O)c1ccc(CCNC(=O)CN(CC(=O)NO)S(=O)(=O)c2ccc(Oc3cccc(O)c3)cc2)cc1,0.4965442888553321,6.614515499912386,0.5170713196473984,0.42538420658025006,0.6,-5.741913500000001,2,0.8275862068965517,True
4978,CAND-02988,NS(=O)(=O)c1ccc(CCNC(=O)CN(CC(=O)NO)S(=O)(=O)c2ccc(Oc3ccccc3)cc2O)cc1,0.4965442888553321,6.614515499912386,0.5170713196473984,0.42538420658025006,0.6,-5.741913500000001,2,0.8135593220338984,True
4979,CAND-02986,NS(=O)(=O)c1ccc(CCNC(=O)CN(CC(=O)NO)S(=O)(=O)c2ccc(Oc3ccccc3)cc2)cc1O,0.4965442888553321,6.614515499912386,0.5170713196473984,0.42538420658025006,0.6,-5.741913500000001,2,0.8103448275862069,True
4980,CAND-04535,COc1cccc(-c2ccc(S(=O)(=O)N(CC(=O)NO)CC(=O)NCCc3ccc(S(N)(=O)=O)cc3)cc2)c1,0.49649610555421686,6.438581935195491,0.4807077316746818,0.44951952455958283,0.6,-5.603717300000001,2,0.7796610169491526,True
4981,CAND-04540,NS(=O)(=O)c1ccc(CCNC(=O)CN(CC(=O)NO)S(=O)(=O)c2ccc(-c3ccccc3)c(O)c2)cc1,0.4962094792414482,6.598176719477304,0.5136942683117192,0.4268915527731832,0.6,-5.733282600000001,2,0.8,True
4982,CAND-02989,NS(=O)(=O)c1ccc(CCNC(=O)CN(CC(=O)NO)S(=O)(=O)c2ccc(Oc3ccccc3)c(O)c2)cc1,0.49620214537591645,6.608997661388183,0.5159308413826796,0.42538420658025006,0.6,-5.741913500000001,2,0.7966101694915254,True
4983,CAND-04537,NS(=O)(=O)c1ccc(CCNC(=O)CN(CC(=O)NO)S(=O)(=O)c2ccc(-c3ccccc3)cc2)cc1O,0.4954164842132198,6.5853878785976425,0.5110509515509579,0.4268915527731832,0.6,-5.733282600000001,2,0.7857142857142857,True
