molecule_chembl_id,canonical_smiles,pIC50_median,n_measurements
CHEMBL6168499,Cc1ccc2c(n1)N(Cc1ccc(C(=O)NO)cc1F)CCC2,8.71,1
CHEMBL485514,O=C(C=C1c2ccccc2-c2ccccc21)NCCCCCC(=O)NO,8.7,1
CHEMBL3098602,O=C(CCCCC[C@H](NC(=O)[C@H]1CCC(=O)N1)C(=O)Nc1cccc(C(F)(F)F)c1)NO,8.7,2
CHEMBL3356917,Cc1ccc(NC(=O)[C@H](CCCCCS)NC(=O)[C@@H]2CCCC(=O)N2)cc1,8.7,1
CHEMBL3356923,Cc1cccc(NC(=O)[C@H](CCCCCS)NC(=O)[C@H]2CCC(=O)N2)c1,8.7,1
CHEMBL3356929,O=C1C[C@@H](C(=O)N[C@@H](CCCCCS)C(=O)Nc2ccccc2)N1,8.7,1
CHEMBL3655918,O=C(NO)c1cnc(NCc2ccccc2)nc1,8.7,2
CHEMBL5934650,COc1ccc(-c2cc(-c3ccsc3)c(C(=O)NCc3ccc(C(=O)NO)cc3)[nH]2)cc1,8.7,2
CHEMBL3655968,O=C(NO)c1cnc(NC2(c3ccccc3C(F)(F)F)CC2)nc1,8.7,2
CHEMBL3655974,O=C(NO)c1cnc(NC2(c3ccc(CO)cc3)CC2)nc1,8.7,2
CHEMBL3655923,O=C(NO)c1cnc(NCc2cccc(C(F)(F)F)c2)nc1,8.7,2
CHEMBL3655942,O=C(NO)c1cnc(NC(c2ccccc2)c2ccccc2)nc1,8.7,2
CHEMBL3655994,O=C(NO)c1cnc(NC2(c3cccc(OC(F)(F)F)c3)CC2)nc1,8.7,2
CHEMBL3655984,O=C(NO)c1cnc(NCc2ccc(-c3ccccc3)cc2)nc1,8.7,2
CHEMBL3655957,CC(C)(Nc1ncc(C(=O)NO)cn1)c1ccc(Cl)c(Cl)c1,8.7,2
CHEMBL3675764,O=C(CCCCCCN(c1ccccn1)c1cc2ccccc2cn1)NO,8.7,1
CHEMBL3655959,O=C(NO)c1cnc(NC2(c3ccccc3F)CC2)nc1,8.7,2
CHEMBL3655915,CC(Nc1ncc(C(=O)NO)cn1)c1ccccc1,8.7,4
CHEMBL3655936,O=C(NO)c1cnc(NCc2ccc(F)c(Cl)c2)nc1,8.7,2
CHEMBL3655948,CC(C)(Nc1ncc(C(=O)NO)cn1)c1ccccc1F,8.7,2
CHEMBL3655971,O=C(NO)c1cnc(NC2(c3cccc(Cl)c3)CC2)nc1,8.7,2
CHEMBL3655932,COc1cc(F)ccc1CNc1ncc(C(=O)NO)cn1,8.7,2
CHEMBL3655997,O=C(NO)c1cnc(NC2(c3ccc4c(c3)OCO4)CC2)nc1,8.7,2
CHEMBL3655996,Cc1ccccc1C1(Nc2ncc(C(=O)NO)cn2)CC1,8.7,2
CHEMBL3655979,O=C(NO)c1cnc(NC2(c3cc4ccccc4s3)CC2)nc1,8.7,2
CHEMBL3655916,O=C(NO)c1cnc(NCc2ccccc2Cl)nc1,8.7,2
CHEMBL3655919,O=C(NO)c1cnc(NCc2ccc(Cl)cc2)nc1,8.7,2
CHEMBL3655995,O=C(NO)c1cnc(NC2(c3cc(C(F)(F)F)ccc3F)CC2)nc1,8.7,2
CHEMBL3655964,O=C(NO)c1cnc(NC2(c3cccc(F)c3)CC2)nc1,8.7,2
CHEMBL3655929,O=C(NO)c1cnc(NCc2ccc3c(c2)OCO3)nc1,8.7,2
CHEMBL3655990,O=C(NO)c1cnc(NC2(c3cccc(C(F)(F)F)c3)CC2)nc1,8.7,2
CHEMBL3894825,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)OCCCCCC(=O)NO)c(F)c1,8.7,1
CHEMBL3961733,O=C(NO)c1cnc(NC2(c3ccccc3)CCN(C(=O)Nc3ccc(F)cc3)CC2)nc1,8.7,1
CHEMBL3923499,Cc1ccc(NC(=O)N2CCC(Nc3ncc(C(=O)NO)cn3)(c3ccccc3)CC2)cc1,8.7,1
CHEMBL4128164,O=C(NO)c1ccc2c(c1)CCN(c1nc3ccccc3[nH]1)C2,8.7,1
CHEMBL4443998,C[C@H](NC(=O)c1nc(-c2ncc(-c3ccc(F)cc3)s2)sc1C1CC1)c1ccc(C(=O)NO)cc1,8.7,1
CHEMBL4471726,NCc1ccc(-c2nnn(Cc3ccc(C(=O)NO)cc3)n2)cc1,8.7,1
CHEMBL4798826,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1,8.7,1
CHEMBL1879463,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,8.7,1
CHEMBL5075135,O=C(NO)c1ccc(CN(Cc2cccnc2)S(=O)(=O)c2cc(F)c(F)c(F)c2F)cc1,8.7,5
CHEMBL5198759,CN(Cc1ccc(C(=O)NO)cc1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,8.7,1
CHEMBL5411782,FC(F)c1nnc(-c2ccc(Cn3nnc(-c4ccccn4)n3)cc2)o1,8.7,1
CHEMBL5403250,FC(F)c1nnc(-c2ccc(Cn3nnc(-c4ccc(Cl)cc4)n3)nc2)o1,8.7,1
CHEMBL5408305,COc1cccc(-c2nnn(Cc3ccc(-c4nnc(C(F)F)o4)cn3)n2)c1,8.7,1
CHEMBL5560545,CN1CCN(CC2C(=O)c3c(n(Cc4ccc(C(=O)NO)cc4)c4ccc(F)cc34)CC2(C)C)CC1,8.7,1
CHEMBL5568503,Cc1cn(Cc2ccc(C(=O)NO)cc2)c2c1C(=O)CCC2,8.7,1
CHEMBL5595119,O=C(NO)c1ccc(CNC(=O)[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2)cc1,8.7,1
CHEMBL5923626,O=C(NO)c1ccc(CN2CC[S+]([O-])c3ccccc32)cc1,8.7,1
CHEMBL5846506,O=C(NO)c1ccc2nc(-c3cc(Cl)ccc3O)[nH]c2c1,8.7,1
CHEMBL5817277,COc1ccc(C(F)(F)F)cc1CNc1ncc(C(=O)NO)cn1,8.7,1
CHEMBL5854086,O=c1cc(-c2nnc(C(F)F)o2)ccn1CCOc1cccc(F)c1,8.7,1
CHEMBL3973951,O=C(/C=C/c1cccc(S(=O)(=O)c2ccc3ccccc3n2)c1)NO,8.68,2
CHEMBL3917405,O=C(CCCCCCOc1ccc2cc1COC/C=C/COCc1cccc(c1)-c1ccnc(n1)N2)NO,8.68,1
CHEMBL3948528,O=C(NO)c1cnc(NC2(c3ccccc3)CCN(c3ccccc3)CC2)nc1,8.68,1
CHEMBL4250891,COCCn1cc(-c2nc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc3[nH]ccc23)cn1,8.68,1
CHEMBL4289006,Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,8.68,1
CHEMBL4866683,O=C(NO)c1ccc(CN2C(=O)C(Cc3ccccc3)N(Cc3cccnc3)C2=O)cc1,8.68,1
CHEMBL5174843,O=C(CCCCCCn1cc(C(=O)NC2CCCCCC2)c2ccccc21)NO,8.68,1
CHEMBL5201523,Nc1nc(-c2ccco2)c2cnn(Cc3cccc(OCCCCCCC(=O)NO)c3)c2n1,8.68,1
CHEMBL5632625,O=C(NO)c1ccc(CNC(=O)[C@H]2Cc3c([nH]c4ccccc34)[C@H](c3ccccc3)N2)cc1,8.68,1
CHEMBL5810912,NC(=O)c1ccccc1NCc1ccc(-c2noc(C(F)(F)F)n2)cn1,8.68,1
CHEMBL4790152,CC(C)c1cc(C(=O)N2Cc3ccc(NC(=O)CCCCCCCC(=O)NO)cc3C2)c(O)cc1O,8.67,1
CHEMBL5991951,CCCCN(Cc1ccc(C(=O)NO)cc1)C(=O)Nc1ccccc1OC,8.67,1
CHEMBL1091475,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccc(I)cc3)nn2)c1)NO,8.66,1
CHEMBL3972758,CN(C(=O)N1CCC(Nc2ncc(C(=O)NO)cn2)(c2ccccc2)CC1)c1ccccc1,8.66,1
CHEMBL3914736,Cc1ccnc(NC(=O)NCc2ccc(C(=O)NO)cc2)c1,8.66,4
CHEMBL2018303,CC(C)(C)OC(=O)N1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,8.65,1
CHEMBL5206589,O=C(CCCCCNC(=O)c1cccc2cc3ccccc3nc12)NO,8.65,2
CHEMBL3972157,O=C(CCCCCCC(=O)Nc1ccc(NCCOc2ccc3cc2COC/C=C/COCc2cccc(c2)-c2ccnc(n2)N3)cc1)NO,8.64,1
CHEMBL4063376,O=C(NO)c1ccc(CNc2cncc3ccccc23)cc1,8.64,1
