molecule_chembl_id,canonical_smiles,pIC50_median,n_measurements
CHEMBL471537,CC(C)[C@H](C(=O)NO)N(CC(=O)NCCc1ccc(S(N)(=O)=O)cc1)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,8.11,1
CHEMBL56289,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1ccc2[nH]nnc2c1,8.1,1
CHEMBL114657,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc1ccc(O)cc1)C(=O)NO,8.1,1
CHEMBL123967,COc1ccc(S(=O)(=O)N2CCN(S(C)(=O)=O)CC2C(=O)NO)cc1,8.1,1
CHEMBL75094,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,8.09,7
CHEMBL135034,CC(C)C[C@@H](C(=O)N[C@H](C(=O)Nc1nccs1)[C@H](C)CC/N=C(/N)NS(C)(=O)=O)[C@H](C(C)C)N(O)C=O,8.09,1
CHEMBL473539,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccccc3)cc2)[C@H]1C(=O)NO,8.08,1
CHEMBL286772,COC(=O)[C@@H]1CCN(S(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)[C@@H](C(=O)NO)C1,8.07,1
CHEMBL11306,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CC(=O)NO)CC(C)C,8.06,4
CHEMBL96637,CC#CCOc1ccc(S(=O)(=O)N(C)C(C(=O)NO)C(C)(C)SCc2cccnc2)cc1,8.05,2
CHEMBL97762,CC#CCOc1ccc(S(=O)(=O)NCCC(=O)NO)cc1,8.05,1
CHEMBL298033,CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)c1ncc[nH]1,8.05,1
CHEMBL329313,CN(C[C@H](C(=O)NO)[C@@H](CC1CCCC1)C(=O)N1CCCCC1)S(=O)(=O)c1ccc(Cl)cc1,8.05,1
CHEMBL318716,CN(C[C@H](C(=O)NO)[C@@H](CC1CCCC1)C(=O)N1CCCCC1)S(=O)(=O)C(F)(F)F,8.05,1
CHEMBL111736,CC(C)C[C@H]1C(=O)N[C@H](C(=O)c2ccccc2)Cc2ccc(cc2)OCCCCC[C@@H]1C(=O)NO,8.04,1
CHEMBL32839,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)C(C)(C)C(=O)NO,8.03,1
CHEMBL356471,CO/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)C1,8.0,1
CHEMBL76356,CCCCCCCCS(=O)(=O)C(C)(Cc1ccc(OCCN2CCCCC2)cc1)C(=O)NO,8.0,1
CHEMBL80496,COc1ccc(CS(=O)(=O)C(C)(Cc2ccccc2)C(=O)NO)cc1,8.0,1
CHEMBL94363,CC#CCOc1ccc(S(=O)(=O)NC(C)(C)C(=O)NO)cc1,8.0,1
CHEMBL16554,CCCCCCC[C@H](CC(=O)CS)C(=O)N[C@H](C(=O)NC)C(C)(C)C,8.0,1
CHEMBL111104,C=CC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)c1ccccc1,8.0,1
CHEMBL329298,COc1ccc(S(=O)(=O)N(C)C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCOCC2)cc1,8.0,1
CHEMBL95614,CS(=O)(=O)N(C[C@H](C(=O)NO)[C@@H](CC1CCCC1)C(=O)N1CCCCC1)C1CC1,8.0,1
CHEMBL328162,COc1ccc(S(=O)(=O)N(C)C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCCCC2)cc1,8.0,1
CHEMBL339574,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)[C@H](CC(C)C)[C@@H](S)CC(=O)OC(C)(C)C,8.0,1
CHEMBL96771,Cc1ccc(COc2ccc(S(=O)(=O)N3CCCC(C)(O)C3C(=O)NO)cc2)c(C)c1,8.0,1
CHEMBL199120,Cc1cc(F)ccc1COc1ccc(C(=O)CCC(=O)NO)cc1,8.0,1
CHEMBL199149,Cc1cc(F)ccc1COc1ccc(S(=O)(=O)CCC(=O)NO)cc1,8.0,1
CHEMBL197931,Cc1cc(F)ccc1COc1ccc(C(=O)NCC(=O)NO)cc1,8.0,1
CHEMBL371101,Cc1cc(F)ccc1COc1ccc(S(=O)(=O)NCC(=O)NO)cc1,8.0,1
CHEMBL432223,CC(C(=O)NO)N(Cc1ccccc1Cl)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,8.0,1
