rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_mmp1,pIC50_mmp2,pIC50_mmp3,pIC50_mmp9,pIC50_mmp13,spare_MMP1,min_offtarget_sel,pareto,sa_score,MW,cLogP,HBD,HBA,TPSA,rotB,lipinski_ok,veber_ok,pred_uncertainty,developable
3629,CAND-01843,COc1ccc(S(=O)(=O)N2CCNCC2C(=O)NO)c(C#N)c1,0.2719085224395332,7.486678332765366,0.562832690443645,0.5378018230038594,0.6,0.4746689988574795,2,0.5,-5.461508299999999,2,0.6666666666666666,True,COc1ccc(S(=O)(=O)N2CCNCC2C(=O)NO)c(C#N)c1,6.56,7.4,6.55,7.72,8.34,1.78,0.62,False,3.06,340.4,-0.97,3,7,131.8,4,True,True,0.97,False
3630,CAND-02259,Cc1ccccc1C[C@@H](NS(=O)(=O)c1ccc(-c2ccc(OCc3oc4ccccc4c3C)cc2)cc1)C(=O)O,0.2718993360602331,7.479517600568234,0.5613377609288446,0.9771527531140012,1.0,0.2104326388534799,2,0.5,-1.6378907999999983,0,0.8253968253968254,True,Cc1ccccc1C[C@@H](NS(=O)(=O)c1ccc(-c2ccc(OCc3oc4ccccc4c3C)cc2)cc1)C(=O)O,5.1,7.07,5.87,5.98,8.07,2.97,1.0,False,2.87,555.7,6.27,2,5,105.8,10,False,True,0.659,False
3631,CAND-04219,COc1ccc(S(=O)(=O)N(C)c2c(CN3CCN(C)CC3)cccc2C(=O)NO)c(O)c1,0.27188435504054,7.668585148806978,0.6008089561044249,0.6186168026096283,0.6,0.4112141067628922,2,0.5,-4.758185400000002,2,0.7619047619047619,True,COc1ccc(S(=O)(=O)N(C)c2c(CN3CCN(C)CC3)cccc2C(=O)NO)c(O)c1,6.05,6.67,5.81,8.21,7.88,1.83,-0.33,False,2.71,464.5,1.09,3,8,122.7,7,True,True,0.833,False
3632,CAND-02953,CC(=O)N1CCN(S(=O)(=O)c2ccc(OCc3ccccc3C)c(F)c2)[C@@H](C(=O)NO)[C@@H]1C,0.2718666559625994,7.463516209905793,0.5579971875739693,0.6681671473295054,0.6,0.482449060460714,2,0.5,-4.326954800000001,2,0.7611940298507462,True,CC(=O)N1CCN(S(=O)(=O)c2ccc(OCc3ccccc3C)c(F)c2)[C@@H](C(=O)NO)[C@@H]1C,6.18,6.81,6.47,6.36,7.53,1.35,0.72,False,3.36,479.5,1.83,2,6,116.3,6,True,True,1.037,False
3633,CAND-01132,COc1cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc1-c1ccc(NC(=O)c2oc3ccc(Br)cc3c2C)cc1,0.2718097520452265,7.461609118492449,0.5575990485062394,0.898432103706752,1.0,0.2160665994577774,2,0.5,-2.3229869999999977,0,0.7941176470588235,True,COc1cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc1-c1ccc(NC(=O)c2oc3ccc(Br)cc3c2C)cc1,4.79,6.69,6.54,5.69,7.81,3.02,1.12,False,2.94,615.5,5.82,3,6,134.9,9,False,True,1.079,False
3634,CAND-03396,COc1cc(-c2ccc(NC(=O)c3oc4ccc(Cl)c(OC)c4c3C)cc2)ccc1S(=O)(=O)N[C@H](C(=O)O)C(C)C,0.2718053546550071,7.480079514122791,0.5614550703232402,0.9003438276434971,1.0,0.2096105804946473,2,0.5,-2.3063494999999983,0,0.7971014492753623,True,COc1cc(-c2ccc(NC(=O)c3oc4ccc(Cl)c(OC)c4c3C)cc2)ccc1S(=O)(=O)N[C@H](C(=O)O)C(C)C,4.68,5.79,6.06,5.33,8.01,3.33,1.95,False,3.12,601.1,5.72,3,7,144.2,10,False,False,0.774,False
3635,CAND-04871,CC(=O)N1CCN(S(=O)(=O)c2ccc(OCc3cncc4ccccc34)cc2C)[C@@H](C(=O)NO)[C@@H]1C,0.2717841753271364,7.748415182358472,0.6174748877491578,0.6783714959392911,0.6,0.3827696892656465,2,0.5,-4.238147600000001,2,0.7945205479452054,True,CC(=O)N1CCN(S(=O)(=O)c2ccc(OCc3cncc4ccccc34)cc2C)[C@@H](C(=O)NO)[C@@H]1C,5.8,6.63,6.62,5.9,7.62,1.82,0.99,False,3.55,512.6,2.24,2,7,129.1,6,True,True,1.045,False
3636,CAND-04660,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-c3nccs3)c(O)c12)C(=O)O,0.2717659737748852,6.901706817777343,0.4407095389280235,0.8523722135639751,1.0,0.4105905936191959,2,0.5,-2.723840599999999,0,0.7230769230769231,False,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-c3nccs3)c(O)c12)C(=O)O,5.25,6.51,6.3,6.1,6.84,1.59,0.33,False,3.22,446.5,3.8,3,7,129.7,6,True,True,1.184,False
3637,CAND-04683,COc1c(CO)ccc2oc(C(=O)Nc3ccc(-c4ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)c(F)c4)cc3)c(C)c12,0.2717622060022244,7.480079514122791,0.5614550703232402,0.8277988020491472,1.0,0.2093229228094291,2,0.5,-2.937699999999999,0,0.7916666666666666,True,COc1c(CO)ccc2oc(C(=O)Nc3ccc(-c4ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)c(F)c4)cc3)c(C)c12,4.87,5.85,6.13,5.57,7.93,3.06,1.8,False,3.19,584.6,4.69,4,7,155.2,10,True,False,0.754,False
3638,CAND-00879,Cc1sc(-c2noc(-c3ccc(S(=O)(=O)N(CCCC(F)(F)F)[C@@H](C(=O)O)C(C)C)cc3)n2)cc1C#N,0.2717249706773375,7.032951098813214,0.4681091042193877,0.8800469440114745,1.0,0.3646512974832705,2,0.5,-2.4829907999999987,0,0.7567567567567568,True,Cc1sc(-c2noc(-c3ccc(S(=O)(=O)N(CCCC(F)(F)F)[C@@H](C(=O)O)C(C)C)cc3)n2)cc1C#N,5.42,7.52,6.67,6.69,6.34,0.92,-1.18,False,3.55,556.6,5.09,1,8,137.4,10,False,True,0.754,False
3639,CAND-00880,Cc1cc(C#N)c(-c2noc(-c3ccc(S(=O)(=O)N(CCCC(F)(F)F)[C@@H](C(=O)O)C(C)C)cc3)n2)s1,0.2717249706773375,7.032951098813214,0.4681091042193877,0.8800469440114744,1.0,0.3646512974832705,2,0.5,-2.4829908,0,0.7333333333333333,True,Cc1cc(C#N)c(-c2noc(-c3ccc(S(=O)(=O)N(CCCC(F)(F)F)[C@@H](C(=O)O)C(C)C)cc3)n2)s1,5.42,7.49,6.67,6.65,6.33,0.91,-1.16,False,3.59,556.6,5.09,1,8,137.4,10,False,True,0.779,False
