rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_adamts5,pIC50_adamts4,selectivity,pareto,sa_score,MW,cLogP,HBD,HBA,TPSA,rotB,lipinski_ok,veber_ok,pred_uncertainty,developable
1100,CAND-01175,O=C(O)[C@]1(NS(=O)(=O)c2ccc(-c3ccc(Cl)c(C(F)(F)F)n3)s2)C[C@@H]1c1ccccc1,0.3185532446142234,7.027991366767487,0.5707028255420322,0.6471079059868438,1.0,0.5058502548581028,2,0.5,-2.380065299999999,0,0.671875,True,O=C(O)[C@]1(NS(=O)(=O)c2ccc(-c3ccc(Cl)c(C(F)(F)F)n3)s2)C[C@@H]1c1ccccc1,7.06,6.6,0.46,False,3.56,502.9,4.77,2,5,96.4,6,True,True,0.633,False
1101,CAND-00298,COc1cc(C)c(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)cn1,0.3184443924244297,6.242191607005861,0.3309146081818432,0.2590707046879676,0.25,0.3432902944450268,1,1.0,-4.222447500000003,3,0.8208955223880597,False,COc1cc(C)c(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)cn1,6.14,7.39,-1.25,False,3.21,455.6,1.77,1,7,109.3,9,True,True,0.599,False
1102,CAND-01408,COc1cc(Cl)ccc1N1CCN(S(=O)(=O)N[C@@]2(C(=O)O)[C@H](C)[C@@H]2c2ccccc2)CC1CO,0.3183516416439002,7.042643328680096,0.5751738982093485,0.2120109036474141,1.0,0.4970544472770872,2,0.5,-4.445885200000002,0,0.7352941176470589,True,COc1cc(Cl)ccc1N1CCN(S(=O)(=O)N[C@@]2(C(=O)O)[C@H](C)[C@@H]2c2ccccc2)CC1CO,6.86,6.55,0.31,False,3.9,510.0,1.92,3,6,119.4,8,True,True,0.471,False
1103,CAND-00776,CCCCNc1nc(NCc2nc(-c3cccs3)sc2C(F)(F)F)nc(N2CCC[C@@H]2CNS(=O)(=O)c2cccc(C#N)c2)n1,0.3182218548338194,5.965088431584338,0.2463560732195376,0.5640366663314349,0.75,0.1501460607468351,1,1.0,-2.7744835999999973,1,0.7777777777777778,False,CCCCNc1nc(NCc2nc(-c3cccs3)sc2C(F)(F)F)nc(N2CCC[C@@H]2CNS(=O)(=O)c2cccc(C#N)c2)n1,5.81,5.75,0.06,False,3.79,677.8,5.72,3,12,148.8,13,False,False,0.521,False
1104,CAND-01983,N#Cc1cc(Cl)cc(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)C[C@@H]3c3ccccc3)s2)c1,0.3181357045006492,6.887834230979463,0.5279336221623885,0.6225377991881763,1.0,0.5743486597336805,2,0.5,-2.496723,0,0.7377049180327869,False,N#Cc1cc(Cl)cc(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)C[C@@H]3c3ccccc3)s2)c1,7.03,6.7,0.33,False,3.4,458.9,4.23,2,5,107.3,6,True,True,0.393,False
1105,CAND-01424,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)N1CCN(c2ccc(Cl)c(C#N)c2)C(CO)C1)C(=O)O,0.3180833030473833,6.988280259442502,0.5585849093470134,0.1979805189710721,1.0,0.5229138380708667,2,0.5,-4.5125008000000015,0,0.7647058823529411,False,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)N1CCN(c2ccc(Cl)c(C#N)c2)C(CO)C1)C(=O)O,6.79,6.44,0.35,False,4.03,505.0,1.79,3,6,134.0,7,True,True,0.427,False
1106,CAND-01423,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)N1CCN(c2ccc(Cl)cc2C#N)C(CO)C1)C(=O)O,0.3180833030473833,6.988280259442502,0.5585849093470134,0.1979805189710721,1.0,0.5229138380708667,2,0.5,-4.5125008000000015,0,0.7246376811594203,False,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)N1CCN(c2ccc(Cl)cc2C#N)C(CO)C1)C(=O)O,6.82,6.47,0.35,False,4.0,505.0,1.79,3,6,134.0,7,True,True,0.472,False
1107,CAND-01849,COc1ccc([C@@]2(C)C[C@@]2(NS(=O)(=O)c2ccc(-c3ccc(Cl)cc3)s2)C(=O)O)cc1,0.3180345681467606,6.991838989039123,0.5596708621173473,0.6445813853445247,1.0,0.520779017449492,2,0.5,-2.3920611,0,0.8035714285714286,False,COc1ccc([C@@]2(C)C[C@@]2(NS(=O)(=O)c2ccc(-c3ccc(Cl)cc3)s2)C(=O)O)cc1,7.34,6.65,0.69,False,3.31,478.0,4.54,2,5,92.7,7,True,True,0.83,False
1108,CAND-01395,C[C@@H]1[C@H](c2ccccc2Cl)[C@]1(NS(=O)(=O)N1CCN(c2ccc(Cl)cc2)C(CO)C1)C(=O)O,0.317961995135794,6.984095320047022,0.5573078675244161,0.3027557247044905,1.0,0.524233521697933,2,0.5,-4.015033100000003,0,0.8387096774193549,False,C[C@@H]1[C@H](c2ccccc2Cl)[C@]1(NS(=O)(=O)N1CCN(c2ccc(Cl)cc2)C(CO)C1)C(=O)O,6.79,6.61,0.18,False,3.91,514.4,2.57,3,5,110.2,7,True,True,0.453,False
1109,CAND-01605,C[C@@H]1[C@H](c2cccc(O)c2)[C@]1(NS(=O)(=O)N1CCn2c(cc3cc(Cl)ccc32)C1)C(=O)O,0.3178090989508502,6.980592186239665,0.5562388799096896,0.4029727550981182,1.0,0.524995859822852,2,0.5,-3.539207400000002,0,0.8709677419354839,False,C[C@@H]1[C@H](c2cccc(O)c2)[C@]1(NS(=O)(=O)N1CCn2c(cc3cc(Cl)ccc32)C1)C(=O)O,7.18,7.01,0.17,False,3.93,476.0,2.91,3,5,111.9,5,True,True,0.505,False
