rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_adamts5,pIC50_adamts4,selectivity,pareto
2,CAND-01024,COc1cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)CC2)cc(F)c1O,0.6931307954156455,7.57594622964242,0.7379122426109372,0.2014146308329747,0.75,0.5805822470339229,1,1.0,-4.4961958000000015,1,0.7313432835820896,True,COc1cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)CC2)cc(F)c1O,7.58,7.52,0.06,True
17,CAND-01022,COc1cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)CC2)cc(F)c1OC,0.6427857539632748,7.508631225478735,0.7173709473897475,0.2287032989483358,0.5,0.6136676008946699,1,1.0,-4.366630500000002,2,0.7313432835820896,True,COc1cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)CC2)cc(F)c1OC,7.52,7.58,-0.06,True
8,CAND-00589,CC[C@]1(C[C@H](C)C(=O)N2CCN(c3cc(F)c(F)c(OC)c3OC)CC2)NC(=O)NC1=O,0.6605520301257989,7.308405232836264,0.6562716237408357,0.2418224487292151,0.75,0.60805406085127,1,1.0,-4.304341400000002,1,0.7230769230769231,True,CC[C@]1(C[C@H](C)C(=O)N2CCN(c3cc(F)c(F)c(OC)c3OC)CC2)NC(=O)NC1=O,7.42,7.26,0.16,True
577,CAND-02057,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)N1CCN(c2ccc(Cl)cc2F)CC1)C(=O)O,0.3611208514718823,7.240792453470478,0.6356394618783687,0.381135215653484,1.0,0.6814065733486009,2,0.5,-3.6428910000000014,0,0.7241379310344828,True,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)N1CCN(c2ccc(Cl)cc2F)CC1)C(=O)O,7.35,6.99,0.36,True
809,CAND-01132,O=C(O)[C@]1(NS(=O)(=O)c2cc(F)c(-c3ccc(Cl)cn3)s2)C[C@@H]1c1ccccc1,0.3396535819109784,7.13704717634467,0.6039814029994978,0.5798064112899192,1.0,0.59105487440736,2,0.5,-2.6996096,0,0.7258064516129032,True,O=C(O)[C@]1(NS(=O)(=O)c2cc(F)c(-c3ccc(Cl)cn3)s2)C[C@@H]1c1ccccc1,7.29,6.81,0.48,True
851,CAND-01928,O=C(O)[C@]1(NS(=O)(=O)c2ccc(-c3cc(Cl)ccc3F)s2)C[C@@H]1c1ccccc1,0.3370080163706974,7.128542905698586,0.6013863094367411,0.6715463349728119,1.0,0.577742926743414,2,0.5,-2.2640327999999994,0,0.7368421052631579,True,O=C(O)[C@]1(NS(=O)(=O)c2ccc(-c3cc(Cl)ccc3F)s2)C[C@@H]1c1ccccc1,7.24,6.63,0.61,True
1262,CAND-01933,O=C(O)[C@]1(NS(=O)(=O)c2ccc(-c3cccc(Cl)c3)s2)C[C@@H]1c1cccc(F)c1,0.3042524645895785,6.699175608108658,0.4703641023122659,0.6715463349728118,1.0,0.577742926743414,2,0.5,-2.2640328,0,0.8421052631578947,False,O=C(O)[C@]1(NS(=O)(=O)c2ccc(-c3cccc(Cl)c3)s2)C[C@@H]1c1cccc(F)c1,7.22,6.59,0.63,True
778,CAND-00087,COCc1cc(N2CCN(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3F)C[C@H]2C)no1,0.3417342140717823,7.184390487000523,0.6184282998394005,0.1933453420184804,1.0,0.5808475940795481,2,0.5,-4.534508400000002,0,0.8285714285714286,True,COCc1cc(N2CCN(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3F)C[C@H]2C)no1,7.21,6.6,0.61,True
679,CAND-02068,Cc1cc(N2CCN(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)CC2)ccc1Cl,0.3519185723090207,7.10894163358317,0.5954049458130446,0.4115465350590594,1.0,0.6871155723717306,2,0.5,-3.498499500000001,0,0.7857142857142857,True,Cc1cc(N2CCN(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)CC2)ccc1Cl,7.2,6.99,0.21,True
868,CAND-01148,Cc1cc(S(=O)(=O)N[C@@]2(C(=O)O)C[C@@H]2c2ccccc2)sc1-c1ccc(Cl)cn1,0.335534080424355,7.08056976888167,0.5867472200051099,0.6102177306954945,1.0,0.592315169487184,2,0.5,-2.5552181,0,0.7377049180327869,True,Cc1cc(S(=O)(=O)N[C@@]2(C(=O)O)C[C@@H]2c2ccccc2)sc1-c1ccc(Cl)cn1,7.18,6.8,0.38,True
886,CAND-01147,Cc1cc(-c2ccc(Cl)cn2)sc1S(=O)(=O)N[C@@]1(C(=O)O)C[C@@H]1c1ccccc1,0.333931460547062,7.059562259364646,0.5803367404959376,0.6102177306954943,1.0,0.5923151694871839,2,0.5,-2.5552181000000003,0,0.7377049180327869,True,Cc1cc(-c2ccc(Cl)cn2)sc1S(=O)(=O)N[C@@]1(C(=O)O)C[C@@H]1c1ccccc1,7.16,6.77,0.39,True
